element_type,osmid,amenity,building,name,tourism,geometry
way,37013312,,yes,,,"POLYGON ((13.2486173 -8.8025906, 13.2487108 -8.803073599999999, 13.2492243 -8.8029765, 13.2491309 -8.802493500000001, 13.2486173 -8.8025906))"
way,37013314,,yes,,,"POLYGON ((13.2461366 -8.801989000000001, 13.2461838 -8.8024007, 13.2470763 -8.802300799999999, 13.2470291 -8.8018891, 13.2461366 -8.801989000000001))"
way,37013315,,yes,,,"POLYGON ((13.247554 -8.801198400000001, 13.2475946 -8.8015454, 13.2485022 -8.801441499999999, 13.2484615 -8.8010945, 13.247554 -8.801198400000001))"
way,37013316,,yes,Banco Nacional de Angola (BNA),,"POLYGON ((13.2342551 -8.8114461, 13.2337425 -8.811356699999999, 13.2338566 -8.8107167, 13.2338739 -8.810657000000001, 13.2338965 -8.810616400000001, 13.2339304 -8.810599, 13.2339803 -8.8105832, 13.2342569 -8.8105277, 13.2345334 -8.810463800000001, 13.2348197 -8.810385, 13.235093 -8.810299799999999, 13.2351019 -8.810330499999999, 13.2352268 -8.8102933, 13.2352929 -8.8103643, 13.235159 -8.8107442, 13.2349993 -8.8106858, 13.2350049 -8.8106747, 13.2348647 -8.8106235, 13.2345848 -8.810711400000001, 13.2345855 -8.8107302, 13.2344179 -8.8107851, 13.2344115 -8.810760500000001, 13.2341473 -8.810819499999999, 13.2340959 -8.8108822, 13.2340289 -8.8112429, 13.2340845 -8.811261200000001, 13.234119 -8.8110733, 13.2343653 -8.811130500000001, 13.2342551 -8.8114461))"
way,37013317,bank,yes,Banco de Poupança e Crédito (BPC),,"POLYGON ((13.2331498 -8.8115898, 13.233112 -8.811806199999999, 13.2333534 -8.8118473, 13.2333912 -8.811630900000001, 13.2331498 -8.8115898))"
way,37013326,,yes,Edifício Rainha Ginga,,"POLYGON ((13.2386479 -8.809855199999999, 13.2383621 -8.810145500000001, 13.2386736 -8.810445, 13.2389595 -8.8101547, 13.2386479 -8.809855199999999))"
way,37013327,,yes,Total E&P Angola - TTA1,,"POLYGON ((13.2399096 -8.8094643, 13.2398115 -8.809332100000001, 13.2397736 -8.8093608, 13.2397613 -8.8093497, 13.2396692 -8.8094225, 13.239678 -8.809432899999999, 13.2395201 -8.8095456, 13.2395652 -8.8096009, 13.2396016 -8.8096505, 13.23963 -8.809686299999999, 13.2398709 -8.8094979, 13.2399096 -8.8094643))"
way,37013328,,yes,Alto Comissariado das Nações Unidas para os Refugiados,,"POLYGON ((13.2386815 -8.809358400000001, 13.2389955 -8.8096724, 13.2392352 -8.809438200000001, 13.2389212 -8.809124300000001, 13.2386815 -8.809358400000001))"
way,37014689,,yes,Casa dos Desportistas,,"POLYGON ((13.2252957 -8.794764000000001, 13.2254402 -8.794826499999999, 13.2253368 -8.795098899999999, 13.225316 -8.795110599999999, 13.225223 -8.795371299999999, 13.2251983 -8.7953855, 13.2251061 -8.7956524, 13.2249603 -8.795597900000001, 13.2250579 -8.7953139, 13.2250844 -8.795288299999999, 13.225184 -8.7950242, 13.2251964 -8.7950292, 13.2252957 -8.794764000000001))"
way,37015809,,yes,,,"POLYGON ((13.2756838 -8.803862799999999, 13.2759937 -8.8040141, 13.2757062 -8.8045893, 13.2753963 -8.804437999999999, 13.2756838 -8.803862799999999))"
