element_type,osmid,amenity,building,name,tourism,geometry
way,537937186,,house,طارق عمران,,"POLYGON ((29.7354761 31.0077767, 29.7353467 31.0077199, 29.7355639 31.0074083, 29.7357426 31.007473, 29.7354761 31.0077767))"
way,537937187,,house,حافظ الطلخاوى,,"POLYGON ((29.7359783 31.0081887, 29.7358489 31.0081226, 29.7359568 31.0079853, 29.7360877 31.008054, 29.7359783 31.0081887))"
way,537937188,,house,عبد الرحمن الطلخاوى,,"POLYGON ((29.736154 31.00866, 29.73608 31.0086244, 29.73606 31.0086402, 29.7360199 31.0086138, 29.7360461 31.0085848, 29.7360215 31.0085768, 29.7361355 31.0084158, 29.7362757 31.0084937, 29.736154 31.00866))"
way,537937189,,house,عبد السلام الطلخاوى,,"POLYGON ((29.7358782 31.0089003, 29.7357365 31.0088132, 29.7358228 31.0087023, 29.7359629 31.0087802, 29.7358782 31.0089003))"
way,537937190,restaurant,yes,مطعم صقر العرب,,"POLYGON ((29.7363717 31.0079189, 29.7365858 31.0080296, 29.7366973 31.0078385, 29.7364938 31.0077551, 29.7363717 31.0079189))"
way,537937191,,house,ايهاب عطية,,"POLYGON ((29.7344611 31.0080896, 29.7346062 31.0081427, 29.734753 31.0079546, 29.7346203 31.0078848, 29.7344611 31.0080896))"
way,537937192,,house,خليل الطلخاوى,,"POLYGON ((29.7356545 31.0097534, 29.7355027 31.0096833, 29.7356101 31.0095312, 29.7357704 31.0095966, 29.7356545 31.0097534))"
way,537937455,,house,محمد صبرى حبشى,,"POLYGON ((29.7351486 31.0081756, 29.7350132 31.008102, 29.7351674 31.0079135, 29.7353082 31.0079836, 29.7351486 31.0081756))"
way,537938580,,house,YERVANT,,"POLYGON ((29.7352341 31.0082509, 29.7355119 31.0083859, 29.7356287 31.0082176, 29.7353686 31.0080704, 29.7352341 31.0082509))"
way,537958692,,house,ماضى الطلخاوى,,"POLYGON ((29.7355879 31.0094186, 29.735039 31.0090963, 29.7352362 31.0087862, 29.7352667 31.0087705, 29.7357952 31.0091189, 29.7355879 31.0094186))"
way,537958693,,house,علوانى شريف,,"POLYGON ((29.7371876 31.0085388, 29.7372669 31.0083976, 29.7374499 31.0084726, 29.7373726 31.0086172, 29.7371876 31.0085388))"
way,629421142,,stadium,,,"POLYGON ((29.7305824 31.001905, 29.7307985 31.0008388, 29.7309294 31.0008583, 29.7307133 31.0019245, 29.7305824 31.001905))"
way,629421144,,stadium,,,"POLYGON ((29.7319735 31.002106, 29.732191 31.0010531, 29.7323216 31.0010729, 29.7321041 31.0021258, 29.7319735 31.002106))"
way,629421147,,yes,,,"POLYGON ((29.7340059 31.0008974, 29.7340665 31.0006162, 29.7338237 31.0005778, 29.7338498 31.0004566, 29.7342202 31.0005152, 29.7341336 31.0009176, 29.7340059 31.0008974))"
way,629421148,,yes,,,"POLYGON ((29.7236776 31.0015171, 29.7237439 31.0013974, 29.7239129 31.0014661, 29.7238466 31.0015859, 29.7236776 31.0015171))"
way,629421149,,yes,,,"POLYGON ((29.7226502 31.0017326, 29.7225375 31.0016824, 29.7225979 31.0015829, 29.7227106 31.0016332, 29.7226502 31.0017326))"
way,629421150,,yes,,,"POLYGON ((29.7274954 31.0037316, 29.7273012 31.0036399, 29.7273647 31.0035412, 29.7275588 31.0036329, 29.7274954 31.0037316))"
way,648740872,,yes,,,"POLYGON ((29.763562 31.1173362, 29.7633528 31.1171257, 29.7643288 31.1164146, 29.764538 31.1166251, 29.763562 31.1173362))"
way,648740873,,yes,,,"POLYGON ((29.7627628 31.1178321, 29.7626363 31.1177024, 29.7633473 31.1171938, 29.7634738 31.1173234, 29.7627628 31.1178321))"
way,648740874,,yes,,,"POLYGON ((29.7523526 31.1097969, 29.7521637 31.1096841, 29.752597 31.1091522, 29.7527859 31.109265, 29.7523526 31.1097969))"
way,648740875,,yes,,,"POLYGON ((29.752047 31.1096113, 29.751703 31.1093777, 29.7518773 31.1091896, 29.7522212 31.1094231, 29.752047 31.1096113))"
way,648740876,,yes,,,"POLYGON ((29.7523554 31.1092388, 29.7520612 31.1090433, 29.7521889 31.1089024, 29.7524831 31.109098, 29.7523554 31.1092388))"
way,648740877,,yes,,,"POLYGON ((29.7516091 31.109286, 29.7514409 31.1091531, 29.7519265 31.1087024, 29.7520947 31.1088353, 29.7516091 31.109286))"
way,648740878,,yes,,,"POLYGON ((29.7529127 31.1091695, 29.7526877 31.1090322, 29.7529266 31.1087451, 29.7531516 31.1088824, 29.7529127 31.1091695))"
way,648740879,,yes,,,"POLYGON ((29.7523695 31.1087981, 29.7523681 31.1086892, 29.7525548 31.1086874, 29.7525562 31.1087963, 29.7523695 31.1087981))"
way,648740880,,yes,,,"POLYGON ((29.7621142 31.0861465, 29.7611446 31.0856578, 29.7616208 31.0849649, 29.7625904 31.0854536, 29.7621142 31.0861465))"
way,648740881,,yes,,,"POLYGON ((29.7659671 31.0857625, 29.7657227 31.0855644, 29.7663315 31.0850137, 29.7665321 31.0851763, 29.7666064 31.0851091, 29.7666502 31.0851447, 29.7659671 31.0857625))"
way,648740882,,yes,,,"POLYGON ((29.7656823 31.0852805, 29.7655598 31.0851723, 29.7656611 31.0850883, 29.7657835 31.0851965, 29.7656823 31.0852805))"
way,648740883,,yes,,,"POLYGON ((29.7705055 31.0880496, 29.7702952 31.0879163, 29.7708308 31.0872965, 29.7710411 31.0874297, 29.7705055 31.0880496))"
way,649172149,,yes,,,"POLYGON ((29.6153773 30.8466616, 29.6149553 30.8464256, 29.6147795 30.8466574, 29.6152015 30.8468934, 29.6153773 30.8466616))"
way,649172151,,yes,,,"POLYGON ((29.6147849 30.8460336, 29.6129898 30.8450385, 29.6125261 30.845655, 29.6143212 30.8466501, 29.6147849 30.8460336))"
way,649172152,,yes,,,"POLYGON ((29.6153402 30.8472351, 29.6169386 30.8481174, 29.6173888 30.8475162, 29.6157905 30.8466339, 29.6153402 30.8472351))"
way,649185850,,yes,,,"POLYGON ((29.6148229 30.8475156, 29.614218 30.8483261, 29.6143791 30.8484147, 29.614984 30.8476043, 29.6148229 30.8475156))"
way,649185851,,yes,,,"POLYGON ((29.6145691 30.8504235, 29.6148864 30.8506021, 29.6149949 30.85046, 29.6146776 30.8502814, 29.6145691 30.8504235))"
way,649185852,,yes,,,"POLYGON ((29.6143842 30.8501522, 29.6132015 30.849467, 29.6131199 30.8495707, 29.6143026 30.850256, 29.6143842 30.8501522))"
way,649185853,,yes,,,"POLYGON ((29.6121121 30.8488133, 29.6114714 30.8484524, 29.6109396 30.8491481, 29.6115803 30.849509, 29.6121121 30.8488133))"
way,649185854,,yes,,,"POLYGON ((29.6119247 30.8507837, 29.6130868 30.8514209, 29.6134632 30.8509149, 29.612301 30.8502778, 29.6119247 30.8507837))"
way,649185856,,yes,,,"POLYGON ((29.6078307 30.8463807, 29.6071272 30.8460018, 29.6067559 30.84651, 29.6074594 30.8468889, 29.6078307 30.8463807))"
way,649185857,,yes,,,"POLYGON ((29.6072736 30.8471096, 29.6066027 30.8467232, 29.606047 30.8474345, 29.6067179 30.8478209, 29.6072736 30.8471096))"
way,649185862,,yes,,,"POLYGON ((29.5969913 30.8413885, 29.598706 30.84238, 29.5993214 30.8415953, 29.5976068 30.8406038, 29.5969913 30.8413885))"
way,649209072,,yes,,,"POLYGON ((29.7172502 31.0530794, 29.7173978 31.0530205, 29.7173161 31.0528701, 29.7171685 31.052929, 29.7172502 31.0530794))"
way,649209073,,yes,,,"POLYGON ((29.7174698 31.0532633, 29.7174288 31.0530972, 29.717267 31.0531265, 29.7173079 31.0532926, 29.7174698 31.0532633))"
