UNIFORM_ID,ADM2_NAME,ADM2_ID,ADM3_NAME,ADM3_ID,ROAD_ID,ROAD_NAME,START_NODE,END_NODE,LINK_NAME,RD_TYPE,LOCAL_CLS,LENGTH,ROAD_WIDTH,AADT_CODE,AADT_VALUE,AADT_SOURC,SURF_TYPE_,SURF_TYPE1,SURF_TYP_1,ROAD_COND_,ROAD_COND1,ROAD_CON_1,LANE_NB,Shape_Leng,AICD_REG,TAH,geometry,country
324.0,OUEST,8.0,NOUN,50.0,8.0,N6,Foumban,Foumbot,N6.Foumban-Foumbot,1.0,1.0,6.71031198765,-99.0,6.0,1261.237192,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.0606264489139,1.0,1.0,"LINESTRING (10.811298795429252 5.68951743631834, 10.82020956318064 5.69830457427031, 10.829625742717894 5.698583505292959, 10.834872645542248 5.705281149448922, 10.826988982688647 5.71950091641213, 10.827877779952246 5.725026024506235, 10.83429288140826 5.730337027407586)",Cameroon
325.0,OUEST,8.0,BAMBOUTOS,1.0,41.0,P15,Galim,Kouoptamo,P15.Galim-Kouoptamo,3.0,2.0,8.39330970069,-99.0,5.0,362.977042,CDP,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.0757811608118,,,"LINESTRING (10.389657456323732 5.694851987067636, 10.39439591484836 5.694591571286935, 10.412796429376954 5.690096883890931, 10.42426683489765 5.6924624587582, 10.43874977766086 5.690244670379343, 10.442183846024363 5.692104330739653, 10.454628859418676 5.692437623080991, 10.464001240174468 5.692687949367894)",Cameroon
326.0,OUEST,8.0,BAMBOUTOS,1.0,8.0,N6,Santa,Mbouda,N6.Santa-Mbouda,1.0,1.0,14.7346183966,-99.0,6.0,2442.463846,CDP,2.0,Asphalt,CDP,2.0,Good,CDP,2.0,0.133172981408,1.0,1.0,"LINESTRING (10.160377897699107 5.7698454852190935, 10.160845733112694 5.7636025751534135, 10.164312234625811 5.76017363562346, 10.16067788185046 5.753481230018394, 10.166020188353002 5.743623093958263, 10.165612019358832 5.735110124219432, 10.157610920336651 5.728851649587341, 10.15603835054776 5.723091938053415, 10.157172232849405 5.719752645641336, 10.157674803677025 5.718271112422826, 10.156108905958263 5.711361747176795, 10.15773487029469 5.708381033343585, 10.177262675094482 5.707808329786815, 10.18785194647461 5.703731360386314, 10.194854541737413 5.685372174201575, 10.205686037412192 5.679226211949924)",Cameroon
327.0,NORD-OUEST,7.0,MEZAM,40.0,8.0,N6,Santa,Mbouda,N6.Santa-Mbouda,1.0,1.0,0.286924625621,-99.0,6.0,2442.463846,CDP,2.0,Asphalt,CDP,2.0,Good,CDP,2.0,0.00259496707775,1.0,1.0,"LINESTRING (10.160773335890667 5.7723967458036896, 10.160346035618943 5.770270661292216, 10.160377897699107 5.7698454852190935)",Cameroon
328.0,OUEST,8.0,NOUN,50.0,119.0,D66,jct_P20,Kouoptamo,D66.jct_P20-Kouoptamo,3.0,3.0,28.9214613588,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,-99.0,Unknown,Not applicable,2.0,0.261280470945,,,"LINESTRING (10.614661889831268 5.655684714946915, 10.616186776666837 5.668231723150541, 10.622803126607948 5.676318867505813, 10.631961871617023 5.681429114750529, 10.636052033172405 5.68950195898617, 10.635331094365597 5.695248800322588, 10.621698867973919 5.709895346850033, 10.624188829869638 5.716579642369084, 10.62968464704528 5.719599444335017, 10.628447808559088 5.7356936493181365, 10.6171303948027 5.748973550117, 10.610741175834676 5.765167246196938, 10.625910088166961 5.776544260722176, 10.6638323163873 5.775280099034035, 10.695434164244375 5.784128862128796, 10.73287882368885 5.793986451401111, 10.732887478764042 5.793988730283104)",Cameroon
329.0,OUEST,8.0,NOUN,50.0,41.0,P15,Galim,Kouoptamo,P15.Galim-Kouoptamo,3.0,2.0,13.9739281204,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,2.0,Good,CDP,2.0,0.126194349987,,,"LINESTRING (10.503978339192088 5.697542562527133, 10.507385208460107 5.697302717838511, 10.5152174444828 5.693205722335051, 10.528373842286669 5.681778308903972, 10.538021812184468 5.681602343059126, 10.543549097537209 5.6788724429453055, 10.5485929010718 5.6805108449053705, 10.561501341403073 5.672071767061766, 10.580130673133567 5.671070863911268, 10.60032873364861 5.669985074653766, 10.60700514750937 5.667261847509394, 10.614661889831268 5.655684714946915)",Cameroon
330.0,SUD-OUEST,10.0,MANYU,24.0,11.0,N8,Bachuo,Bakebe,N8.Bachuo-Bakebe,1.0,1.0,17.2656397383,-99.0,3.0,97.559766,CDP,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.156055204515,1.0,,"LINESTRING (9.440227739639283 5.689663116594545, 9.444323823230206 5.671267602296382, 9.452108447346006 5.643789379767384, 9.471338882323607 5.619538385132387, 9.48151914204476 5.608796670574463, 9.504115987590922 5.599087768011884, 9.516300825323526 5.593852564467795, 9.531541169005948 5.5817642554652025, 9.536873048768882 5.5800810142080195)",Cameroon
331.0,OUEST,8.0,BAMBOUTOS,1.0,41.0,P15,Mbouda,Batcham,P15.Mbouda-Batcham,3.0,2.0,8.22644614846,-99.0,6.0,1132.018984,CDP,5.0,Earth Road,CDP,2.0,Good,CDP,2.0,0.0743343394945,,,"LINESTRING (10.201016851864892 5.577296102565697, 10.205393368346279 5.580636521828239, 10.253302520037892 5.630054132439966)",Cameroon
332.0,OUEST,8.0,NOUN,50.0,127.0,D80,jct_N6,Mancha,D80.jct_N6-Mancha,3.0,3.0,19.8142998083,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.179034003428,,,"LINESTRING (10.811298795429252 5.68951743631834, 10.814783358925979 5.681944782404855, 10.815044641653117 5.675965719932719, 10.808248062181406 5.658218339826476, 10.80944676401765 5.648793655400766, 10.813605552837089 5.643984748485025, 10.821895477222824 5.6398877511829255, 10.824678174734402 5.634841856724677, 10.823129451368402 5.623562280144029, 10.817913054446592 5.611113508482958, 10.821437655760121 5.595950084713024, 10.829288901651807 5.587710330805294, 10.837799121263913 5.585224090304109, 10.839308721423663 5.5851916625504145, 10.855024590622236 5.584853561534146, 10.865626112567043 5.577776805478834, 10.872553285288575 5.570452102742706, 10.876968583233804 5.5605830012490856, 10.879045665486558 5.5580520140809995)",Cameroon
333.0,SUD-OUEST,10.0,MANYU,24.0,45.0,P19,Bakebe,Fontem(Menji),P19.Bakebe-Fontem(Menji),2.0,2.0,22.9605602746,-99.0,4.0,131.124456,CDP,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.207364185016,,,"MULTILINESTRING ((9.668248354442198 5.570280945572733, 9.685485623804936 5.570603272480582, 9.69945759337486 5.576216589676619, 9.7127724876932 5.57699429368995, 9.774548122077988 5.556305710564516), (9.59507736206075 5.525374406205742, 9.602427167572671 5.525193679350025, 9.614562415789237 5.530565714740874, 9.622791493845114 5.536141839575066, 9.632809632784074 5.546490625949275, 9.63579170729156 5.549570990958614, 9.64998016525766 5.557026326514745, 9.668248354442198 5.570280945572733), (9.774548122077988 5.556305710564516, 9.782741894549702 5.5532973344849665))",Cameroon
