name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Angola,2017-02-17,31.9,26,27.7,36.6,26,29.8,22.9,75.5,,0,0,,0,0,,22.3,233.6,1010.2,41,9.8,,,,,2017-02-17T06:10:05,2017-02-17T18:31:52,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-18,31,25,27.9,34.5,25,29.7,22.3,72.7,,0,0,,0,0,,25.9,256.7,1010.9,58,9.7,,,,,2017-02-18T06:10:14,2017-02-18T18:31:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-19,30,25,27.9,37.4,25,31.6,24,79.9,,0,0,,0,0,,14.8,248.8,1011.1,51.1,9.8,,,,,2017-02-19T06:10:23,2017-02-19T18:31:14,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-20,31,26,27.5,35.5,26,29.7,23.3,79,,0,0,,0,0,,13,277.4,1011.6,56.9,9.5,,,,,2017-02-20T06:10:31,2017-02-20T18:30:53,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-21,31,25,28,35.5,25,30.4,22.9,74.8,,0,0,,0,0,,24.1,229.3,1009.9,41.9,9.1,,,,,2017-02-21T06:10:38,2017-02-21T18:30:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-22,31,25,27.6,35.5,25,29.8,23,76.2,,0,0,,0,0,,22.3,220.2,1010.4,41.4,9.6,,,,,2017-02-22T06:10:44,2017-02-22T18:30:10,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-23,31,25,27.9,35.5,25,29.9,22.2,71.7,,0,0,,0,0,,22.3,233,1009.5,46,9.7,,,,,2017-02-23T06:10:50,2017-02-23T18:29:47,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-24,31,25,27.6,34.5,25,29.7,22.6,74.8,,0,0,,0,0,,22.3,238.8,1010.3,51.8,10,,,,,2017-02-24T06:10:56,2017-02-24T18:29:24,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-25,31,25.8,27.7,34.5,25.8,29.3,22.2,72.6,,0,0,,0,0,,20.5,205.8,1010.4,53.7,10,,,,,2017-02-25T06:11:01,2017-02-25T18:29:00,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-26,30.2,25,27.3,34.1,25,28.7,22,73.1,,0,0,,0,0,,22.3,226.8,1009.3,44.4,10,,,,,2017-02-26T06:11:05,2017-02-26T18:28:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-27,30,25,27,33.3,25,28.2,21.9,74.4,,0,0,,0,0,,22.3,244.2,1008.2,39.4,10,,,,,2017-02-27T06:11:09,2017-02-27T18:28:11,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-28,30,25,27.2,33.3,25,28.7,22,73.6,,0,0,,0,0,,20.5,232.6,1009.4,63.1,9.8,,,,,2017-02-28T06:11:12,2017-02-28T18:27:45,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-01,30,24,27,33.3,24,28.3,21.8,74.2,,0,0,,0,0,,22.3,232.3,1010.2,40.8,10,,,,,2017-03-01T06:11:15,2017-03-01T18:27:19,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-02,31,25,27.5,33.7,25,29,22,72.7,,0,0,,0,0,,22.3,231.1,1010.4,40.9,9.4,,,,,2017-03-02T06:11:18,2017-03-02T18:26:52,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-03,30,24,27,34.1,24,28.5,22.3,76.2,,0,0,,0,0,,20.5,236.5,1009.1,39.6,9.9,,,,,2017-03-03T06:11:20,2017-03-03T18:26:25,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-04,32,25,27.7,34.9,25,28.8,21.5,70.4,,0,0,,0,0,,25.9,229.1,1008.3,31,9.9,,,,,2017-03-04T06:11:21,2017-03-04T18:25:57,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-05,31,24.8,28,33.7,24.8,29.5,21.7,70.1,,0,0,,0,0,,20.5,253.4,1008.4,36.9,10,,,,,2017-03-05T06:11:22,2017-03-05T18:25:29,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-06,30,24,27,34.1,24,28.5,22.4,76.9,,0,0,,0,0,,18.4,257.6,1008.4,35.1,9.6,,,,,2017-03-06T06:11:23,2017-03-06T18:25:00,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
