name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tanzania,2017-03-06,28,20.3,23.5,29.3,20.3,23.7,18.8,76.1,9,100,4.17,rain,0,0,,16.6,124.4,1014.7,71.9,16.3,,,,,2017-03-06T06:42:24,2017-03-06T18:53:56,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-07,30,18,22.8,31.4,18,23.1,18.3,77.2,9,100,4.17,rain,0,0,,14.8,324.3,1014.4,61.3,16.2,,,,,2017-03-07T06:42:20,2017-03-07T18:53:31,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-08,27,18.7,21.8,28.6,18.7,21.9,18.8,83.8,9,100,8.33,rain,0,0,,14.8,112.6,1014.6,74.7,15.1,,,,,2017-03-08T06:42:16,2017-03-08T18:53:06,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-09,26.1,19.1,21.6,26.1,19.1,21.6,18.1,81.3,1,100,4.17,rain,0,0,,27.7,242.4,1015.9,74,16.3,,,,,2017-03-09T06:42:11,2017-03-09T18:52:41,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-10,29,19,23.9,29.5,19,24.3,18.8,74.9,0,0,0,,0,0,,14.8,226.8,1014.9,66.3,17.1,,,,,2017-03-10T06:42:06,2017-03-10T18:52:15,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-03-11,30,19.3,25.1,30.9,19.3,25.4,18.2,67.8,0,0,0,,0,0,,27.7,95.2,1014.6,44.2,16.2,,,,,2017-03-11T06:42:01,2017-03-11T18:51:49,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-03-12,30,19.4,24.6,29.9,19.4,24.6,17.8,69,0,0,0,,0,0,,22.3,88.9,1015.9,47,15.5,,,,,2017-03-12T06:41:55,2017-03-12T18:51:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-03-13,28,19.5,22.9,28.9,19.5,23,18.5,77.2,2,100,4.17,rain,0,0,,22.3,100,1016.5,68.2,15.6,,,,,2017-03-13T06:41:49,2017-03-13T18:50:56,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-14,30.1,19.9,23.9,30.5,19.9,24.1,17.9,70.9,0,0,0,,0,0,,18.4,97.9,1015.8,47.7,16.2,,,,,2017-03-14T06:41:43,2017-03-14T18:50:29,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-03-15,30,19.9,24.4,30.9,19.9,24.8,18.1,69.5,0,0,0,,0,0,,18.4,80.6,1014.8,44.5,16.3,,,,,2017-03-15T06:41:36,2017-03-15T18:50:02,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
